Date,N1,N2,N3,N4,N5,E1,E2,Winner,Gain,estGagnant
2005-02-18,32,46,20,21,26,8,9,1,10000000,True
2005-02-18,34,37,9,45,5,9,11,0,10000000,False
2005-04-22,13,10,24,47,3,9,5,2,23749558,True
2005-04-22,46,41,39,29,37,3,4,0,23749558,False
2005-04-22,35,9,43,15,8,4,8,0,23749558,False
2005-04-22,10,13,2,19,44,7,10,0,23749558,False
2005-04-22,11,37,6,47,9,7,5,0,23749558,False
2005-05-20,2,13,24,22,49,1,11,0,43020745,False
2005-05-20,21,3,13,49,33,6,11,0,43020745,False
2005-05-20,40,16,9,35,36,8,9,0,43020745,False
2005-05-20,28,6,47,7,13,8,5,1,43020745,True
2005-05-20,33,1,22,19,8,9,11,0,43020745,False
2005-07-10,26,44,21,13,2,3,9,2,15000000,True
2005-07-10,34,18,5,17,16,8,4,0,15000000,False
2005-07-10,20,14,15,5,40,4,6,0,15000000,False
2005-07-10,25,13,10,27,9,8,7,0,15000000,False
2005-07-10,35,32,36,22,47,8,11,0,15000000,False
2005-07-29,33,28,9,30,43,3,2,0,115436126,False
2005-07-29,42,26,39,48,37,3,8,0,115436126,False
2005-07-29,39,31,24,21,15,11,10,0,115436126,False
2005-07-29,23,19,49,15,44,1,8,0,115436126,False
2005-07-29,50,3,19,49,26,5,4,1,115436126,True
2005-08-04,44,14,10,39,26,10,3,0,64040749,False
2005-08-04,8,2,5,15,42,3,8,0,64040749,False
2005-08-04,31,50,25,11,7,3,1,1,64040749,True
2005-08-04,4,8,35,31,14,4,10,0,64040749,False
2005-08-04,20,40,7,27,15,6,1,0,64040749,False
2005-09-16,47,18,44,21,15,11,1,0,75888514,False
2005-09-16,39,10,16,19,31,11,2,0,75888514,False
2005-09-16,14,2,25,21,40,2,11,0,75888514,False
2005-09-16,16,38,5,15,12,2,8,0,75888514,False
2005-09-16,19,38,12,13,21,3,9,1,75888514,True
2005-09-30,24,2,33,42,1,7,2,0,25066380,False
2005-09-30,15,35,14,46,23,4,3,0,25066380,False
2005-09-30,19,2,43,22,1,4,11,0,25066380,False
2005-09-30,26,8,23,39,28,8,11,0,25066380,False
2005-09-30,11,50,48,6,47,1,6,4,25066380,True
2005-10-14,49,9,25,35,8,4,6,0,15000000,False
2005-10-14,12,22,47,17,3,6,2,0,15000000,False
2005-10-14,29,6,24,12,14,1,9,0,15000000,False
2005-10-14,41,26,15,48,2,2,3,0,15000000,False
2005-10-14,10,19,11,23,20,6,1,1,15000000,True
2005-11-02,11,13,25,32,50,7,4,1,34776948,True
2005-11-02,33,11,37,19,31,7,6,0,34776948,False
2005-11-02,19,12,25,21,13,2,3,0,34776948,False
2005-11-02,16,9,11,42,22,4,11,0,34776948,False
2005-11-02,4,29,20,15,38,4,9,0,34776948,False
2005-11-11,41,16,36,42,15,5,3,1,45117030,True
2005-11-11,38,26,46,28,7,8,9,0,45117030,False
2005-11-11,4,17,15,32,48,4,11,0,45117030,False
2005-11-11,12,31,49,42,29,6,10,0,45117030,False
2005-11-11,30,42,11,16,2,4,11,0,45117030,False
2006-01-09,11,28,24,4,33,5,3,0,15000000,False
2006-01-09,19,47,9,4,12,11,7,0,15000000,False
2006-01-09,25,33,42,23,37,1,8,0,15000000,False
2006-01-09,5,20,28,3,17,5,1,0,15000000,False
2006-01-09,25,50,7,45,3,9,6,0,15000000,True
2006-01-12,16,37,8,41,4,2,5,0,15000000,True
2006-01-12,43,19,32,17,29,6,7,0,15000000,False
2006-01-12,44,39,25,3,17,3,10,0,15000000,False
2006-01-12,20,29,12,46,15,5,9,0,15000000,False
2006-01-12,34,44,28,23,3,3,10,0,15000000,False
2006-01-27,9,21,15,40,49,4,1,0,152882223,True
2006-01-27,35,37,5,32,15,9,5,0,152882223,False
2006-01-27,4,1,29,26,27,3,5,0,152882223,False
2006-01-27,30,13,33,16,2,5,8,0,152882223,False
2006-01-27,19,15,40,42,13,3,5,0,152882223,False
2006-02-06,28,46,31,34,47,11,8,0,15000000,False
2006-02-06,17,48,37,47,12,6,11,0,15000000,False
2006-02-06,48,27,18,22,5,1,5,0,15000000,False
2006-02-06,41,7,48,27,8,6,1,0,15000000,True
2006-02-06,21,1,46,9,33,9,1,0,15000000,False
2006-02-17,44,25,48,38,19,11,6,0,27813382,False
2006-02-17,4,23,38,24,26,4,2,1,27813382,True
2006-02-17,46,49,8,32,36,7,6,0,27813382,False
2006-02-17,39,42,44,15,31,1,3,0,27813382,False
2006-02-17,37,5,12,28,10,11,2,0,27813382,False
2006-02-24,8,30,19,42,16,3,7,0,15000000,False
2006-02-24,17,10,2,23,26,9,3,0,15000000,False
2006-02-24,18,19,1,47,11,7,3,0,15000000,True
2006-02-24,20,48,28,33,16,7,6,0,15000000,False
2006-02-24,20,4,22,23,12,6,5,0,15000000,False
2006-03-02,30,39,9,21,50,3,1,3,183573077,True
2006-03-02,30,49,40,25,16,11,10,0,183573077,False
2006-03-02,49,2,41,11,33,9,3,0,183573077,False
2006-03-02,41,12,37,48,30,2,3,0,183573077,False
2006-03-02,37,46,8,16,49,4,9,0,183573077,False
2006-03-03,35,5,15,13,19,9,3,0,26842720,False
2006-03-03,19,42,44,22,5,9,6,0,26842720,False
2006-03-03,3,10,29,28,5,8,4,0,26842720,False
2006-03-03,5,44,10,8,3,3,5,0,26842720,True
2006-03-03,8,13,33,21,2,4,3,0,26842720,False
2006-03-11,45,25,19,23,33,9,5,0,131523150,False
2006-03-11,49,4,40,6,43,4,8,0,131523150,False
2006-03-11,13,11,44,24,49,9,3,0,131523150,True
2006-03-11,26,9,32,6,35,6,4,0,131523150,False
2006-03-11,47,8,22,18,21,4,10,0,131523150,False
2006-03-17,50,44,5,45,32,7,1,0,51865203,True
2006-03-17,38,27,43,48,30,9,3,0,51865203,False
2006-03-17,42,30,32,31,41,6,10,0,51865203,False
2006-03-17,44,37,24,5,21,6,4,0,51865203,False
2006-03-17,34,17,37,46,41,8,3,0,51865203,False
2006-03-24,17,47,28,33,35,4,9,0,65117842,True
2006-03-24,20,44,28,8,15,3,1,0,65117842,False
2006-03-24,17,41,16,47,49,11,9,0,65117842,False
2006-03-24,40,35,32,28,45,11,4,0,65117842,False
2006-03-24,2,3,32,20,23,4,1,0,65117842,False
2006-03-31,50,3,45,20,31,7,6,1,75753123,True
2006-03-31,26,41,45,29,42,8,3,0,75753123,False
2006-03-31,16,17,3,36,41,4,6,0,75753123,False
2006-03-31,5,41,8,34,2,10,8,0,75753123,False
2006-03-31,12,38,15,1,10,9,11,0,75753123,False
2006-04-08,26,15,32,14,1,7,3,0,24977577,True
2006-04-08,25,32,11,30,9,7,4,0,24977577,False
2006-04-08,10,3,24,28,25,6,7,0,24977577,False
2006-04-08,42,41,9,22,6,4,6,0,24977577,False
2006-04-08,4,22,16,30,26,6,8,0,24977577,False
2006-04-14,4,46,34,47,19,7,10,0,25915863,False
2006-04-14,48,29,39,12,49,1,2,0,25915863,False
2006-04-14,15,1,13,17,40,6,9,0,25915863,False
2006-04-14,34,35,26,16,49,6,2,1,25915863,True
2006-04-14,13,47,10,23,30,6,8,0,25915863,False
2006-04-21,28,2,21,24,1,7,3,0,15000000,False
2006-04-21,31,38,25,30,21,7,1,0,15000000,False
2006-04-21,42,31,43,29,28,9,1,0,15000000,False
2006-04-21,14,3,30,34,33,3,5,0,15000000,False
2006-04-21,46,1,22,20,37,1,9,0,15000000,True
2006-04-28,48,45,7,32,49,7,9,0,25811931,False
2006-04-28,17,5,33,22,10,7,5,4,25811931,True
2006-04-28,34,38,1,26,24,7,4,0,25811931,False
2006-04-28,23,2,15,44,47,8,4,0,25811931,False
2006-04-28,10,4,45,27,34,2,8,0,25811931,False
2006-05-05,40,15,39,18,6,5,11,0,15000000,False
2006-05-05,40,39,11,26,20,8,10,0,15000000,False
2006-05-05,40,26,4,18,6,6,8,0,15000000,False
2006-05-05,8,50,16,4,14,9,3,0,15000000,True
2006-05-05,23,17,37,9,43,8,7,0,15000000,False
2006-05-19,15,10,47,26,9,7,11,0,15000000,False
2006-05-19,48,47,8,29,33,1,10,0,15000000,False
2006-05-19,49,34,25,3,5,8,5,1,15000000,True
2006-05-19,23,16,15,31,34,9,7,0,15000000,False
2006-05-19,47,6,28,34,20,3,2,0,15000000,False
2006-05-26,21,41,12,2,49,3,7,2,15000000,True
2006-05-26,26,29,30,34,4,6,5,0,15000000,False
2006-05-26,11,5,49,30,10,8,1,0,15000000,False
2006-05-26,14,18,43,32,45,8,11,0,15000000,False
2006-05-26,41,24,5,21,42,1,7,0,15000000,False
2006-06-10,5,35,11,22,38,7,8,0,69208821,True
2006-06-10,29,22,37,18,5,1,2,0,69208821,False
2006-06-10,37,24,25,46,42,6,11,0,69208821,False
2006-06-10,16,20,21,24,27,6,9,0,69208821,False
2006-06-10,6,26,40,45,31,10,8,0,69208821,False
2006-06-16,38,48,17,21,7,8,10,0,35662152,False
2006-06-16,7,3,13,47,20,4,8,0,35662152,False
2006-06-16,26,36,1,16,30,9,3,0,35662152,True
2006-06-16,37,36,44,8,15,6,8,0,35662152,False
2006-06-16,32,39,35,5,2,4,7,0,35662152,False
2006-06-23,16,34,20,24,8,3,8,0,46811687,False
2006-06-23,44,30,9,21,43,9,1,0,46811687,True
2006-06-23,45,24,30,2,31,3,5,0,46811687,False
2006-06-23,24,1,43,44,3,4,10,0,46811687,False
2006-06-23,13,31,28,37,30,1,8,0,46811687,False
2006-06-30,44,47,30,18,17,7,4,0,58765947,False
2006-06-30,48,15,28,40,2,9,5,0,58765947,False
2006-06-30,6,19,11,29,22,11,6,0,58765947,False
2006-06-30,44,45,29,6,10,3,8,0,58765947,False
2006-06-30,16,6,15,40,43,1,2,0,58765947,True
2006-07-04,8,21,6,18,23,5,8,0,15000000,False
2006-07-04,13,12,29,50,44,4,5,0,15000000,True
2006-07-04,3,38,20,7,35,4,7,0,15000000,False
2006-07-04,28,3,43,18,38,4,6,0,15000000,False
2006-07-04,42,27,41,32,47,6,3,0,15000000,False
2006-07-07,31,48,39,15,26,10,2,0,68408266,False
2006-07-07,24,31,26,11,8,7,6,0,68408266,False
2006-07-07,49,5,20,22,8,1,11,0,68408266,False
2006-07-07,13,45,39,38,31,6,9,0,68408266,False
2006-07-07,35,9,7,43,18,7,5,2,68408266,True
2006-07-14,1,31,7,17,36,8,2,0,15000000,True
2006-07-14,39,27,34,29,33,3,5,0,15000000,False
2006-07-14,30,12,49,36,11,7,5,0,15000000,False
2006-07-14,43,13,6,28,25,11,1,0,15000000,False
2006-07-14,35,26,1,34,11,11,3,0,15000000,False
2006-07-21,47,39,27,12,48,9,8,0,25042525,False
2006-07-21,24,49,19,13,7,3,11,0,25042525,False
2006-07-21,9,7,37,4,47,3,2,0,25042525,False
2006-07-21,28,23,40,33,24,1,9,0,25042525,False
2006-07-21,50,4,38,2,9,8,6,1,25042525,True
2006-07-28,22,19,44,48,21,8,6,0,15000000,False
2006-07-28,3,43,29,8,12,6,7,0,15000000,True
2006-07-28,20,8,18,24,15,6,1,0,15000000,False
2006-07-28,49,30,17,16,18,8,4,0,15000000,False
2006-07-28,22,3,37,43,36,4,11,0,15000000,False
2006-08-09,12,10,32,33,1,8,1,0,25256582,True
2006-08-09,27,43,37,11,3,6,5,0,25256582,False
2006-08-09,49,32,15,27,39,6,4,0,25256582,False
2006-08-09,21,10,24,11,44,7,5,0,25256582,False
2006-08-09,7,17,39,20,6,11,5,0,25256582,False
2006-08-12,19,1,3,36,15,3,10,0,26982938,False
2006-08-12,42,35,14,41,4,9,7,0,26982938,False
2006-08-12,23,4,8,6,25,3,10,0,26982938,False
2006-08-12,47,13,10,7,21,11,6,0,26982938,False
2006-08-12,47,36,17,16,18,1,2,0,26982938,True
2006-08-18,13,10,49,3,31,7,1,0,45929071,False
2006-08-18,37,40,50,12,39,1,2,0,45929071,True
2006-08-18,9,17,15,44,5,10,9,0,45929071,False
2006-08-18,20,44,46,42,35,9,2,0,45929071,False
2006-08-18,11,40,13,33,35,2,7,0,45929071,False
2006-08-25,44,6,1,31,26,2,7,0,57414511,False
2006-08-25,28,46,38,10,39,5,1,0,57414511,False
2006-08-25,32,26,33,5,16,3,10,0,57414511,False
2006-08-25,9,8,17,18,37,2,7,0,57414511,False
2006-08-25,47,10,28,48,40,8,6,1,57414511,True
2006-09-06,44,14,15,20,17,4,7,0,25187106,False
2006-09-06,5,21,26,33,17,7,4,0,25187106,False
2006-09-06,42,26,5,40,39,8,2,0,25187106,False
2006-09-06,20,45,25,37,38,7,4,0,25187106,False
2006-09-06,3,34,39,15,12,4,6,0,25187106,True
2006-09-15,10,49,26,6,16,7,9,0,35980458,True
2006-09-15,34,10,5,32,24,2,4,0,35980458,False
2006-09-15,14,8,39,38,23,9,6,0,35980458,False
2006-09-15,35,2,45,4,40,9,3,0,35980458,False
2006-09-15,14,49,33,25,10,6,2,0,35980458,False
2006-09-22,39,12,7,33,24,1,10,0,47213250,False
2006-09-22,30,45,49,29,10,8,3,0,47213250,True
2006-09-22,2,16,41,1,36,10,6,0,47213250,False
2006-09-22,34,47,35,11,9,5,1,0,47213250,False
2006-09-22,1,26,23,28,41,10,2,0,47213250,False
2006-09-29,24,16,6,14,2,7,6,0,59132969,False
2006-09-29,47,4,13,44,22,11,2,0,59132969,False
2006-09-29,17,7,25,39,34,10,3,0,59132969,False
2006-09-29,31,39,9,1,16,11,10,0,59132969,False
2006-09-29,1,3,24,6,18,5,8,0,59132969,True
2006-10-02,17,33,40,48,30,5,7,0,15000000,False
2006-10-02,5,38,6,48,50,6,7,0,15000000,True
2006-10-02,29,6,30,8,44,6,4,0,15000000,False
2006-10-02,31,44,45,9,41,10,4,0,15000000,False
2006-10-02,9,49,21,13,35,10,5,0,15000000,False
2006-10-03,1,33,21,45,49,4,8,0,39080314,True
2006-10-03,25,39,33,22,28,8,10,0,39080314,False
2006-10-03,44,24,28,17,42,7,11,0,39080314,False
2006-10-03,45,8,29,31,2,5,10,0,39080314,False
2006-10-03,16,7,30,5,39,10,11,0,39080314,False
2006-10-11,27,46,16,43,39,11,3,0,153564446,False
2006-10-11,28,12,8,6,4,11,9,0,153564446,False
2006-10-11,36,30,14,27,21,2,3,0,153564446,True
2006-10-11,24,47,31,10,28,2,1,0,153564446,False
2006-10-11,26,20,16,44,19,11,7,0,153564446,False
2006-10-13,15,13,10,33,30,7,10,0,82724345,False
2006-10-13,2,32,38,41,25,5,3,0,82724345,True
2006-10-13,18,38,21,10,1,8,5,0,82724345,False
2006-10-13,17,11,29,9,32,10,9,0,82724345,False
2006-10-13,25,18,29,17,37,4,6,0,82724345,False
2006-10-20,11,23,26,38,47,1,8,0,96837646,False
2006-10-20,22,17,31,8,47,10,3,0,96837646,False
2006-10-20,28,32,12,43,10,10,8,0,96837646,False
2006-10-20,10,34,47,19,45,6,3,0,96837646,True
2006-10-20,49,16,9,17,44,2,3,0,96837646,False
2006-10-27,20,44,40,10,46,2,3,0,113230830,False
2006-10-27,28,5,38,37,21,1,4,0,113230830,False
2006-10-27,35,31,14,22,11,1,4,0,113230830,False
2006-10-27,10,5,17,45,2,7,1,0,113230830,False
2006-10-27,3,50,44,4,8,8,7,0,113230830,True
2006-11-08,18,27,5,28,16,10,6,0,35197614,False
2006-11-08,38,43,9,30,40,5,1,0,35197614,False
2006-11-08,2,23,14,28,47,8,6,0,35197614,False
2006-11-08,46,41,27,11,2,10,6,0,35197614,False
2006-11-08,47,31,46,28,27,5,2,0,35197614,True
2006-11-17,29,48,13,40,20,5,2,0,183109057,False
2006-11-17,38,35,2,25,27,1,7,0,183109057,False
2006-11-17,36,12,33,22,32,2,6,0,183109057,True
2006-11-17,40,32,8,2,39,6,11,0,183109057,False
2006-11-17,15,49,36,2,7,7,8,0,183109057,False
2006-11-24,29,21,44,10,35,3,11,0,15000000,False
2006-11-24,1,2,5,3,26,10,9,0,15000000,False
2006-11-24,35,4,38,15,34,6,10,0,15000000,False
2006-11-24,10,43,41,49,31,11,9,0,15000000,False
2006-11-24,8,5,40,25,17,5,1,2,15000000,True
2006-12-05,14,22,35,18,1,10,1,0,25640375,False
2006-12-05,49,24,6,34,37,6,4,0,25640375,False
2006-12-05,30,27,33,40,12,10,9,0,25640375,False
2006-12-05,18,21,28,23,19,3,2,0,25640375,False
2006-12-05,23,5,20,34,50,1,5,2,25640375,True
2006-12-15,32,21,5,26,48,7,2,0,39640847,False
2006-12-15,38,19,33,46,3,4,2,0,39640847,False
2006-12-15,31,23,36,10,39,10,9,0,39640847,False
2006-12-15,16,13,47,35,17,6,5,0,39640847,False
2006-12-15,35,37,9,42,23,3,7,0,39640847,True
2006-12-22,20,11,43,9,38,2,3,0,53119776,True
2006-12-22,16,25,4,41,36,5,3,0,53119776,False
2006-12-22,34,36,1,14,47,5,6,0,53119776,False
2006-12-22,38,25,22,47,15,6,8,0,53119776,False
2006-12-22,24,34,47,48,25,11,6,0,53119776,False
2006-12-29,41,1,11,19,28,2,8,0,66983488,False
2006-12-29,47,37,8,22,19,5,8,0,66983488,False
2006-12-29,14,9,6,13,35,3,4,0,66983488,True
2006-12-29,34,33,14,41,21,3,1,0,66983488,False
2006-12-29,37,46,6,35,1,8,2,0,66983488,False
2007-01-06,15,13,17,36,35,2,1,0,15000000,False
2007-01-06,44,33,3,34,40,8,5,0,15000000,False
2007-01-06,30,8,5,45,3,11,3,0,15000000,False
2007-01-06,25,14,13,37,30,6,7,0,15000000,False
2007-01-06,22,41,42,37,6,6,9,1,15000000,True
2007-01-19,45,44,32,1,35,8,11,0,15000000,False
2007-01-19,27,5,13,33,42,4,2,1,15000000,True
2007-01-19,38,45,20,30,42,6,2,0,15000000,False
2007-01-19,39,33,29,8,10,1,4,0,15000000,False
2007-01-19,27,34,26,1,33,9,11,0,15000000,False
2007-01-26,35,32,20,6,39,9,10,0,15000000,False
2007-01-26,37,22,46,39,29,7,4,0,15000000,False
2007-01-26,41,44,3,49,22,8,3,0,15000000,False
2007-01-26,10,32,31,13,12,4,8,0,15000000,False
2007-01-26,38,11,23,15,30,4,9,0,15000000,True
2007-02-02,36,14,27,23,30,1,6,1,27173863,True
2007-02-02,38,11,22,17,5,9,3,0,27173863,False
2007-02-02,16,19,43,15,32,1,4,0,27173863,False
2007-02-02,26,40,41,31,12,8,1,0,27173863,False
2007-02-02,32,46,12,6,17,3,1,0,27173863,False
2007-02-03,29,7,20,16,23,5,9,0,42201702,False
2007-02-03,5,28,22,44,6,9,1,0,42201702,False
2007-02-03,3,16,48,34,38,8,5,2,42201702,True
2007-02-03,40,38,16,19,41,7,3,0,42201702,False
2007-02-03,13,42,19,3,18,2,8,0,42201702,False
2007-02-11,10,28,11,3,39,6,5,0,41136124,False
2007-02-11,37,14,49,31,40,2,7,0,41136124,False
2007-02-11,21,20,18,10,1,10,1,0,41136124,False
2007-02-11,40,16,3,19,18,2,1,1,41136124,True
2007-02-11,30,41,45,21,14,9,2,0,41136124,False
2007-02-16,19,39,20,50,8,6,9,0,15000000,True
2007-02-16,10,44,9,23,45,7,2,0,15000000,False
2007-02-16,28,38,18,5,31,11,4,0,15000000,False
2007-02-16,3,17,36,37,18,3,1,0,15000000,False
2007-02-16,17,4,19,13,49,11,8,0,15000000,False
2007-02-23,37,3,24,18,13,9,7,0,28224030,False
2007-02-23,20,2,22,18,15,5,2,0,28224030,True
2007-02-23,6,35,32,47,29,4,10,0,28224030,False
2007-02-23,3,43,18,34,30,8,1,0,28224030,False
2007-02-23,42,9,18,34,6,10,3,0,28224030,False
2007-03-08,30,28,13,14,17,4,1,0,39185012,False
2007-03-08,41,33,37,30,10,1,8,0,39185012,True
2007-03-08,14,19,34,49,42,7,8,0,39185012,False
2007-03-08,25,43,21,14,28,3,1,0,39185012,False
2007-03-08,15,32,18,49,33,9,4,0,39185012,False
2007-03-16,42,3,40,33,39,10,5,0,27699321,False
2007-03-16,2,33,1,20,30,7,6,0,27699321,False
2007-03-16,5,10,25,14,12,4,8,0,27699321,False
2007-03-16,4,39,3,42,8,7,2,0,27699321,False
2007-03-16,45,4,31,49,14,9,4,0,27699321,True
2007-03-23,14,49,33,44,25,2,4,0,41023864,False
2007-03-23,36,15,48,30,9,7,5,0,41023864,False
2007-03-23,43,17,5,40,13,3,1,1,41023864,True
2007-03-23,43,38,3,30,10,10,3,0,41023864,False
2007-03-23,33,34,28,6,26,11,9,0,41023864,False
2007-03-30,30,10,8,29,2,4,7,0,15000000,False
2007-03-30,25,24,23,36,28,7,4,0,15000000,False
2007-03-30,31,47,34,29,30,1,10,0,15000000,False
2007-03-30,43,7,25,12,31,1,9,0,15000000,False
2007-03-30,19,9,46,17,41,1,8,0,15000000,True
2007-04-05,13,35,42,9,10,5,2,0,39605256,False
2007-04-05,38,21,35,12,14,10,1,0,39605256,False
2007-04-05,17,41,35,6,45,1,5,0,39605256,True
2007-04-05,3,42,4,7,1,7,5,0,39605256,False
2007-04-05,8,24,11,22,15,7,3,0,39605256,False
2007-04-13,25,46,44,23,5,10,6,0,15000000,False
2007-04-13,20,41,38,7,25,3,7,1,15000000,True
2007-04-13,3,23,25,2,32,11,5,0,15000000,False
2007-04-13,43,21,36,17,13,8,3,0,15000000,False
2007-04-13,4,18,41,42,30,6,11,0,15000000,False
2007-04-20,41,26,32,45,23,3,7,0,15000000,True
2007-04-20,37,33,6,8,44,10,5,0,15000000,False
2007-04-20,13,10,34,39,38,9,10,0,15000000,False
2007-04-20,38,34,26,5,10,9,8,0,15000000,False
2007-04-20,29,46,10,32,2,3,8,0,15000000,False
2007-04-27,6,7,2,32,35,7,9,0,26851565,False
2007-04-27,48,45,46,31,28,6,11,0,26851565,False
2007-04-27,19,23,36,33,46,2,1,0,26851565,False
2007-04-27,44,18,7,36,27,1,2,0,26851565,True
2007-04-27,39,47,5,24,2,8,11,0,26851565,False
2007-05-01,39,23,15,30,42,4,5,0,78312155,False
2007-05-01,8,44,42,40,5,1,7,0,78312155,False
2007-05-01,16,44,15,2,13,3,4,0,78312155,False
2007-05-01,40,35,49,26,20,8,2,0,78312155,False
2007-05-01,17,45,36,29,19,6,5,2,78312155,True
2007-05-10,20,27,35,44,11,5,2,5,15000000,True
2007-05-10,14,42,30,45,38,11,9,0,15000000,False
2007-05-10,47,48,33,46,1,6,5,0,15000000,False
2007-05-10,30,25,16,5,23,10,5,0,15000000,False
2007-05-10,26,44,45,29,4,11,1,0,15000000,False
2007-05-18,49,37,34,26,39,2,6,1,15000000,True
2007-05-18,19,44,8,40,20,8,11,0,15000000,False
2007-05-18,11,34,13,39,38,3,10,0,15000000,False
2007-05-18,45,10,16,40,22,7,1,0,15000000,False
2007-05-18,35,49,1,45,24,3,1,0,15000000,False
2007-05-25,49,26,50,29,25,8,7,1,15000000,True
2007-05-25,40,3,30,45,34,2,3,0,15000000,False
2007-05-25,14,22,16,30,41,4,7,0,15000000,False
2007-05-25,2,20,19,39,22,4,8,0,15000000,False
2007-05-25,32,7,23,31,41,6,10,0,15000000,False
2007-06-04,44,18,20,29,31,10,2,0,26945909,False
2007-06-04,49,25,18,27,11,9,3,0,26945909,False
2007-06-04,41,48,29,23,15,6,3,1,26945909,True
2007-06-04,38,49,36,1,8,10,9,0,26945909,False
2007-06-04,30,33,35,21,15,1,2,0,26945909,False
2007-06-07,30,12,19,40,22,10,6,0,39898280,False
2007-06-07,10,38,43,28,8,11,3,0,39898280,False
2007-06-07,21,25,47,11,9,2,6,0,39898280,False
2007-06-07,39,41,4,19,5,9,8,0,39898280,True
2007-06-07,36,14,11,20,19,6,3,0,39898280,False
